name,state_id
Bangalore Urban,1
Bangalore Rural,1
Bagalakot,1
Belgaum,1
Bellary,1
Bidar,1
Bijapur,1
Chamarajanagar,1
Chikballapur,1
Chikkamaglur,1
Chitiradurga,1
Coorg,1
Davanagere,1
Dharwad,1
Gulbarga,1
Gadag,1
Hassan,1
Haveri,1
Kolar,1
Koppal,1
Mandya,1
Mangalore,1
Mysore,1
Raichur,1
Ramanagram,1
Shimoga,1
Tumkur,1
Udupi,1
Uttara Kannada,1
Chikkodi,1
Yadgi,1
